map
	ez_horizon
end

values
	1.69986300,0.70169570,1.78819900,12.83296000,35.92500000,15.07501000,0,0,0,1,
	1.70711500,0.70169570,1.78819900,12.83296000,36.15000000,12.97501000,0,0,0,1,
	1.71228400,0.70169570,1.78819900,12.83296000,36.37500000,10.95001000,0,0,0,1,
	1.71715000,0.71726040,1.81559900,13.00756000,36.52501000,9.67501000,0,0,0,1,
	1.72625900,0.71726040,1.81559900,13.00756000,36.67500000,8.25000900,0,0,0,0,
	1.73517700,0.72852030,1.83659900,13.18279000,36.90001000,6.00000900,0,0,0,0,
	1.74287100,0.72852030,1.83659900,13.18279000,37.05001000,3.97500900,0,0,1,0,
	1.75029500,0.72852030,1.83659900,13.18279000,37.27501000,2.25000800,0,0,1,0,
	1.75591800,0.74940090,1.85120000,13.35763000,37.35000000,1.20000900,0,0,1,0,
	1.76225300,0.74940090,1.85120000,13.35763000,37.42501000,0.52500870,0,0,1,0,
	1.76747500,0.74940090,1.85120000,13.35763000,37.50000000,359.92500000,0,0,1,0,
	1.77208500,0.74940090,1.85120000,13.35763000,37.50000000,359.62500000,0,0,1,0,
	1.77612900,0.77028150,1.85940000,13.53248000,37.50000000,359.40000000,0,0,1,0,
	1.78051100,0.77028150,1.85940000,13.53248000,37.50000000,359.40000000,0,0,1,0,
	1.78407300,0.77028150,1.85940000,13.53248000,37.50000000,359.40000000,0,0,1,0,
	1.78838700,0.77028150,1.85940000,13.53248000,37.50000000,359.40000000,0,0,1,0,
	1.79112000,0.77028150,1.85940000,13.53248000,37.50000000,359.40000000,0,0,1,0,
	1.79543100,0.79116210,1.86119900,13.70733000,37.50000000,359.40000000,0,0,1,0,
	1.80148100,0.79116210,1.86119900,13.70733000,37.50001000,359.47500000,0,0,1,0,
	1.80583900,0.79116210,1.86119900,13.70733000,37.50000000,359.62500000,0,0,1,0,
	1.81203800,0.79116210,1.86119900,13.70733000,37.50000000,359.85000000,0,0,1,0,
	1.81901900,0.81204270,1.85659900,13.88217000,37.50000000,0.30000860,0,0,1,0,
	1.82427900,0.81204270,1.85659900,13.88217000,37.42500000,0.82500850,0,0,1,0,
	1.83009900,0.81204270,1.85659900,13.88217000,37.35001000,1.50000900,0,0,1,0,
	1.83413600,0.81204270,1.85659900,13.88217000,37.27501000,2.17500900,0,0,1,0,
	1.83982600,0.83453030,1.84559900,14.05694000,37.20000000,2.77500900,0,0,1,0,
	1.84686300,0.83453030,1.84559900,14.05694000,37.05000000,3.67500900,0,0,1,0,
	1.85318400,0.83453030,1.84559900,14.05694000,36.82500000,4.95000800,0,0,1,0,
	1.85881600,0.86711590,1.82819900,14.23083000,36.67500000,6.07500900,0,0,1,0,
	1.86534600,0.86711590,1.82819900,14.23083000,36.52500000,7.27501000,0,0,1,0,
	1.87009900,0.86711590,1.82819900,14.23083000,36.30001000,8.55000900,0,0,1,0,
	1.87630900,0.91045610,1.80439900,14.40312000,36.15000000,9.60000800,0,0,1,0,
